codigo_ocorrencia,classification,type,category_type,icao_type,latitude,longitude,city,state,aerodrome,date,hour_of_incident,status,report_number,aircraft_involved,rwy_excursion
200912289948837,ACCIDENT,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-31.6261,-54.2125,ACEGUÁ,RS,****,2009-12-28,1900-01-01 17:30:00,ATIVA,A-512/CENIPA/2018,1,0
201211159478138,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.7588,-49.4405,ABADIA DE GOIÁS,GO,****,2012-11-15,1900-01-01 12:40:00,FINALIZADA,***,1,0
201208018273083,ACCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6758,-63.7469,ALTO ALEGRE,RR,****,2012-08-01,1900-01-01 16:20:00,FINALIZADA,A-130/CENIPA/2013,1,0
201106206058374,INCIDENT,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,2.9938,-61.314,ALTO ALEGRE,RR,****,2011-06-20,1900-01-01 14:30:00,FINALIZADA,***,1,0
200811167138358,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.81,-61.3831,ALTO ALEGRE,RR,****,2008-11-16,1900-01-01 12:25:00,FINALIZADA,A-566/CENIPA/2015,1,0
201111224132085,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,0.7394,-62.0214,ALTO ALEGRE,RR,****,2011-11-22,1900-01-01 16:40:00,FINALIZADA,A-038/CENIPA/2013,1,0
201009213278405,ACCIDENT,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8375,-63.6417,ALTO ALEGRE,RR,****,2010-09-21,1900-01-01 17:10:00,FINALIZADA,A-044/CENIPA/2012,1,0
201006099196125,ACCIDENT,INDETERMINADO,INDETERMINADO,UNK,2.9938,-61.314,ALTO ALEGRE,RR,****,2010-06-09,1900-01-01 13:00:00,ATIVA,A DEFINIR,1,0
201104061447671,ACCIDENT,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8106,-62.0408,ALTO ALEGRE,RR,****,2011-04-06,1900-01-01 20:25:00,FINALIZADA,A-025/CENIPA/2013,1,0
201407101908656,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.9938,-61.314,ALTO ALEGRE,RR,SWUQ,2014-07-10,1900-01-01 14:15:00,FINALIZADA,***,1,0
201609191241236,ACCIDENT,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-3.5111,-61.7181,ANAMÃ,AM,****,2016-09-16,1900-01-01 19:00:00,FINALIZADA,***,1,0
201207125348634,ACCIDENT,VOO CONTROLADO CONTRA O TERRENO,VOO CONTROLADO CONTRA O TERRENO,CFIT,-23.0222,-44.2806,ANGRA DOS REIS,RJ,****,2012-07-12,1900-01-01 20:15:00,FINALIZADA,A-521/CENIPA/2016,1,0
200910129260596,ACCIDENT,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,SDAG,2009-10-12,1900-01-01 16:10:00,FINALIZADA,A-539/CENIPA/2015,1,1
201509183338691,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-23.0061,-44.3025,ANGRA DOS REIS,RJ,****,2015-09-18,1900-01-01 13:30:00,FINALIZADA,***,1,0
201212272090341,ACCIDENT,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,SDMC,2012-12-27,1900-01-01 16:03:00,FINALIZADA,A-161/CENIPA/2013,1,0
201208318138992,ACCIDENT,OUTROS,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,****,2012-08-31,1900-01-01 18:40:00,ATIVA,A DEFINIR,1,0
201102052791822,INCIDENT,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,****,2011-02-05,1900-01-01 12:30:00,FINALIZADA,***,1,0
201604271828141,SERIOUS INCIDENT,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-22.9753,-44.3072,ANGRA DOS REIS,RJ,SDAG,2016-04-21,1900-01-01 16:45:00,ATIVA,IG-075/CENIPA/2016,1,0
200801159627220,ACCIDENT,OUTROS,OUTROS,OTHR,-23.0036,-44.2992,ANGRA DOS REIS,RJ,SJXY,2008-01-15,1900-01-01 11:41:00,FINALIZADA,A-025/CENIPA/2010,1,0
201408227604299,ACCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,SDAG,2014-08-22,1900-01-01 14:30:00,FINALIZADA,***,1,0
200906128607729,ACCIDENT,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-23.0486,-44.3475,ANGRA DOS REIS,RJ,****,2009-06-12,1900-01-01 14:50:00,ATIVA,A-527/CENIPA/2017,1,0
201609131430542,ACCIDENT,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,SDAG,2016-09-10,1900-01-01 14:10:00,ATIVA,A-117/CENIPA/2016,1,1
201806151358172,INCIDENT,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-23.0361,-44.3428,ANGRA DOS REIS,RJ,****,2018-05-21,1900-01-01 12:00:00,FINALIZADA,***,1,0
201407141681337,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-23.0091,-44.3196,ANGRA DOS REIS,RJ,SDAG,2014-07-14,1900-01-01 19:25:00,FINALIZADA,***,1,0
201102203023021,SERIOUS INCIDENT,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-22.9978,-44.2497,ANGRA DOS REIS,RJ,****,2011-02-20,1900-01-01 21:20:00,ATIVA,A DEFINIR,1,0
201508159929510,ACCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.9081,-60.4817,BOA VISTA,RR,****,2015-08-15,1900-01-01 14:00:00,FINALIZADA,A-113/CENIPA/2015,1,0
201105165154118,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,SBBV,2011-05-16,1900-01-01 17:42:00,FINALIZADA,***,1,0
201310055119546,INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8167,-60.6705,BOA VISTA,RR,****,2013-10-05,1900-01-01 18:30:00,FINALIZADA,***,1,0
201110231217982,INCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,****,2011-10-23,1900-01-01 18:03:00,FINALIZADA,***,1,0
200909251799064,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,SBBV,2009-09-25,1900-01-01 19:00:00,FINALIZADA,***,1,0
201304154740415,INCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,****,2013-04-15,1900-01-01 17:55:00,FINALIZADA,***,1,0
201009014590067,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8414,-60.6922,BOA VISTA,RR,SBBV,2010-09-01,1900-01-01 13:30:00,FINALIZADA,A-134/CENIPA/2011,1,0
201209141796176,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,SBBV,2012-09-14,1900-01-01 15:15:00,FINALIZADA,***,1,0
201501292823312,ACCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-2.9378,-60.7192,BOA VISTA,RR,****,2015-01-29,1900-01-01 20:30:00,FINALIZADA,A-014/CENIPA/2015,1,0
201212273864973,INCIDENT,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,SBBV,2012-12-27,1900-01-01 17:25:00,FINALIZADA,***,1,0
200808272648966,ACCIDENT,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6069,-63.8694,BOA VISTA,RR,SBBV,2008-08-27,1900-01-01 22:20:00,FINALIZADA,A-045/CENIPA/2012,1,0
201209264932342,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,SBBV,2012-09-26,1900-01-01 10:00:00,FINALIZADA,***,1,0
201604201642115,ACCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.6956,-60.8142,BOA VISTA,RR,****,2016-04-19,1900-01-01 10:08:00,FINALIZADA,A-072/CENIPA/2016,1,0
201207171533514,INCIDENT,SOPRO DE REATOR,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,SBBV,2012-07-17,1900-01-01 12:20:00,FINALIZADA,***,1,0
201105236654663,ACCIDENT,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.6956,-60.8142,BOA VISTA,RR,****,2011-05-23,1900-01-01 10:50:00,FINALIZADA,A-044/CENIPA/2013,1,0
201505081529330,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-19.9783,-41.08,AFONSO CLÁUDIO,ES,****,2015-05-08,1900-01-01 11:27:00,FINALIZADA,***,1,0
201012113981199,SERIOUS INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.3019,-37.8769,ÁGUA BRANCA,AL,****,2010-12-11,1900-01-01 11:00:00,ATIVA,IG-583/CENIPA/2016,1,0
200901078078550,INCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61.659,ANORI,AM,****,2009-01-07,1900-01-01 16:45:00,FINALIZADA,***,1,0
200806139544442,INCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61.659,ANORI,AM,****,2008-06-13,1900-01-01 14:09:00,FINALIZADA,***,1,0
200905218704582,INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-21.6883,-51.0734,ADAMANTINA,SP,****,2009-05-21,1900-01-01 10:33:00,FINALIZADA,***,1,0
201410043195984,INCIDENT,COM LANÇAMENTO DE CARGA,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2014-10-04,1900-01-01 18:10:00,FINALIZADA,***,1,0
200901125918921,INCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2009-01-12,1900-01-01 15:10:00,FINALIZADA,***,1,0
201302225833590,INCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2013-02-22,1900-01-01 19:05:00,FINALIZADA,***,1,0
201510036622095,INCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2015-10-03,1900-01-01 14:10:00,FINALIZADA,***,1,0
200904287041195,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2009-04-28,1900-01-01 08:15:00,FINALIZADA,***,1,0
201105185856144,INCIDENT,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,****,2011-05-18,1900-01-01 21:30:00,FINALIZADA,***,1,0
201201191732215,ACCIDENT,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-15.8197,-47.8747,BRASÍLIA,DF,****,2012-01-19,1900-01-01 21:30:00,FINALIZADA,A-032/CENIPA/2014,1,0
201206224204460,SERIOUS INCIDENT,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.9417,-47.7203,BRASÍLIA,DF,SIQE,2012-06-22,1900-01-01 12:30:00,FINALIZADA,IG-123/CENIPA/2013,1,0
200903057160862,INCIDENT,F.O.D.,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2009-03-05,1900-01-01 20:20:00,FINALIZADA,***,1,0
201105235453158,INCIDENT,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2011-05-23,1900-01-01 23:47:00,FINALIZADA,***,1,0
201211015848731,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-11-01,1900-01-01 18:00:00,FINALIZADA,***,1,0
200908303419146,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2009-08-30,1900-01-01 16:35:00,FINALIZADA,***,1,0
201803011722167,SERIOUS INCIDENT,PROBLEMAS FISIOLÓGICOS,MÉDICO,MED,-15.8692,-47.9208,BRASÍLIA,DF,SBBR,2018-02-22,1900-01-01 11:00:00,ATIVA,IG-030/CENIPA/2018,1,0
201103274169638,INCIDENT,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2011-03-27,1900-01-01 15:01:00,FINALIZADA,***,1,0
201007199377105,ACCIDENT,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-15.8539,-47.8064,BRASÍLIA,DF,****,2010-07-19,1900-01-01 18:30:00,FINALIZADA,A-037/CENIPA/2011,1,0
200810288305979,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2008-10-28,1900-01-01 22:00:00,FINALIZADA,***,1,0
200810109319239,SERIOUS INCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8408,-47.9256,BRASÍLIA,DF,SBBR,2008-10-10,1900-01-01 19:15:00,ATIVA,IG-549/CENIPA/2018,1,0
200908249821293,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2009-08-24,1900-01-01 11:00:00,FINALIZADA,***,1,0
201401273279512,INCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2014-01-27,1900-01-01 01:00:00,FINALIZADA,***,1,0
201006218726530,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2010-06-21,1900-01-01 17:23:00,FINALIZADA,***,1,0
201804101509299,SERIOUS INCIDENT,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2018-04-10,1900-01-01 00:32:00,ATIVA,IG-065/CENIPA/2018,2,0
200807113095482,INCIDENT,COLISÃO DE VEÍCULO COM AERONAVE,COLISÃO NO SOLO,GCOL,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2008-07-11,1900-01-01 09:30:00,FINALIZADA,***,1,0
201602151643527,INCIDENT,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2016-02-14,1900-01-01 17:30:00,FINALIZADA,***,1,0
201005298364334,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2010-05-29,1900-01-01 15:45:00,FINALIZADA,***,1,0
201603081820596,INCIDENT,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2016-03-02,1900-01-01 14:00:00,FINALIZADA,***,2,0
201601271224323,INCIDENT,OUTROS,OUTROS,OTHR,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2016-01-20,1900-01-01 01:35:00,FINALIZADA,***,1,0
201009169551671,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2010-09-16,1900-01-01 14:50:00,FINALIZADA,***,1,0
200908067142107,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2009-08-06,1900-01-01 13:45:00,FINALIZADA,***,1,0
201201213452808,SERIOUS INCIDENT,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-01-21,1900-01-01 14:50:00,FINALIZADA,IG-544/CENIPA/2015,1,0
201504084922109,SERIOUS INCIDENT,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2015-04-08,1900-01-01 16:04:00,ATIVA,IG-057/CENIPA/2015,1,0
201211187960040,INCIDENT,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-11-18,1900-01-01 22:41:00,FINALIZADA,***,1,0
201310032094858,INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,****,2013-10-03,1900-01-01 16:22:00,FINALIZADA,***,1,0
201006108630131,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2010-06-10,1900-01-01 17:27:00,FINALIZADA,***,1,0
200801048139183,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2008-01-04,1900-01-01 21:00:00,FINALIZADA,***,1,0
200807243162027,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2008-07-24,1900-01-01 18:00:00,FINALIZADA,***,1,0
201004028193780,INCIDENT,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2010-04-02,1900-01-01 18:15:00,FINALIZADA,***,1,0
200812191682387,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2008-12-19,1900-01-01 12:50:00,FINALIZADA,***,1,0
201706072058247,INCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-15.8692,-47.9208,BRASÍLIA,DF,****,2017-06-05,1900-01-01 18:30:00,FINALIZADA,***,1,0
201009017188535,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2010-09-01,1900-01-01 20:10:00,FINALIZADA,***,1,0
201210113968925,INCIDENT,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-10-11,1900-01-01 16:45:00,FINALIZADA,***,1,0
201105037312137,INCIDENT,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,****,2011-05-03,1900-01-01 14:00:00,FINALIZADA,***,1,0
201008276773531,INCIDENT,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,****,2010-08-27,1900-01-01 12:01:00,FINALIZADA,***,1,0
201702111346128,SERIOUS INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,-47.9186,BRASÍLIA,DF,SBBR,2017-02-10,1900-01-01 00:11:00,ATIVA,IG-026/CENIPA/2017,1,1
200901037254487,INCIDENT,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2009-01-03,1900-01-01 20:00:00,FINALIZADA,***,1,0
200808096375994,INCIDENT,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2008-08-09,1900-01-01 22:20:00,FINALIZADA,***,1,0
200911035801074,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,****,2009-11-03,1900-01-01 16:55:00,FINALIZADA,***,1,0
201211211003450,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-11-21,1900-01-01 18:31:00,FINALIZADA,***,1,0
201408131266759,INCIDENT,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2014-08-13,1900-01-01 10:45:00,FINALIZADA,***,1,0
201006217439011,INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,****,2010-06-21,1900-01-01 17:00:00,FINALIZADA,***,1,0
201208016781087,INCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,****,2012-08-01,1900-01-01 10:33:00,FINALIZADA,***,1,0
201210248061654,SERIOUS INCIDENT,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2012-10-24,1900-01-01 22:50:00,ATIVA,A DEFINIR,1,0
201010049618214,INCIDENT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,SBBR,2010-10-04,1900-01-01 13:30:00,FINALIZADA,***,1,0
